"site","type","stade","small_log","rock","ground","big_log"
1,"AF","1",0,0,1,0
2,"AF","1",0,1,1,0
3,"AF","2",1,0,4,0
4,"AF","3",2,0,1,0
5,"AF","2",0,0,0,0
6,"AF","1",0,0,0,0
7,"AF","3",1,0,1,0
8,"AF","3",1,0,3,1
9,"AF","2",0,0,1,0
10,"AF","3",1,0,2,0
11,"AF","1",0,0,0,0
12,"AF","1",0,0,0,0
14,"AF","2",1,0,0,0
15,"AF","2",0,0,1,0
16,"AF","3",1,0,0,0
17,"AF","2",0,0,0,0
18,"AF","2",0,1,3,1
19,"AF","1",0,0,1,0
20,"AF","1",0,0,0,0
21,"AF","1",0,0,0,0
22,"AF","2",1,0,0,0
23,"PL","2",0,0,0,0
24,"PL","2",0,0,0,0
25,"PL","2",0,0,0,0
26,"PL","2",0,0,0,0
27,"PL","3",0,0,0,0
28,"PL","3",0,0,0,0
29,"PL","3",0,0,0,0
30,"PL","3",1,0,0,0
31,"PL","3",0,0,0,0
32,"PL","3",1,0,0,0
33,"PL","3",0,0,0,0
34,"PL","2",0,0,0,0
35,"PL","1",0,0,0,0
36,"PL","3",0,0,0,0
37,"PL","2",0,0,0,0
38,"PL","3",0,0,0,0
39,"PL","1",0,0,0,0
40,"PL","1",0,0,0,0
41,"PL","1",0,0,0,0
